symbol,name,exchange,listing_date
ANSCU,Agriculture & Natural Solutions Acquisition Corp - Units (1 Ord Class A & 1/2 War),NASDAQ,09-11-2023
ANSCW,Agriculture & Natural Solutions Acquisition Corp - Warrants (03/10/2028),NASDAQ,03-01-2024
ANSS,Ansys Inc,NASDAQ,21-06-1996
ANTE,AirNet Technology Inc,NASDAQ,07-11-2007
ANTX,AN2 Therapeutics Inc,NASDAQ,25-03-2022
ANVS,Annovis Bio Inc,NYSE,29-01-2020
ANY,Sphere 3D Corp,NASDAQ,24-06-2008
AOA,iShares Core Aggressive Allocation ETF,NYSE ARCA,11-11-2008
AOCT,Innovator Equity Defined Protection ETF - 2 Yr to October 2026,BATS,01-10-2024
AOD,abrdn Total Dynamic Dividend Fund,NYSE,26-01-2007
AOHY,Angel Oak High Yield Opportunities ETF,NYSE ARCA,20-02-2024
AOK,ISHARES CORE CONSERVATIVE ALLOCATION ETF ,NYSE ARCA,10-11-2008
AOM,ISHARES CORE MODERATE ALLOCATION ETF ,NYSE ARCA,11-11-2008
AOMN,Angel Oak Mortgage REIT Inc,NYSE,01-08-2024
AOMR,Angel Oak Mortgage REIT Inc,NYSE,17-06-2021
AON,Aon plc. - Class A,NYSE,07-09-1984
AONC,American Oncology Network Inc - Class A,NASDAQ,05-05-2021
AONCW,American Oncology Network Inc - Warrants (20/09/2028),NASDAQ,13-05-2021
AOR,ISHARES CORE GROWTH ALLOCATION ETF ,NYSE ARCA,11-11-2008
AORT,Artivion Inc,NYSE,12-02-1993
AOS,A.O. Smith Corp,NYSE,07-09-1984
AOSL,Alpha & Omega Semiconductor Ltd,NASDAQ,29-04-2010
AOTG,AOT GROWTH AND INNOVATION ETF ,NASDAQ,29-06-2022
AOUT,American Outdoor Brands Inc,NASDAQ,21-08-2020
AP,Ampco-Pittsburgh Corp,NYSE,19-07-1984
AP-WS,Ampco-Pittsburgh Corp - Warrants (01/08/2025),NYSE MKT,24-09-2020
APA,APA Corporation,NASDAQ,15-05-1979
APAM,Artisan Partners Asset Management Inc - Class A,NYSE,07-03-2013
APCB,ACTIVEPASSIVE CORE BOND ETF ,NYSE ARCA,03-05-2023
APCX,AppTech Payments Corp,NASDAQ,06-11-2006
APCXW,AppTech Payments Corp - Warrants (17/12/2026),NASDAQ,05-01-2022
APD,Air Products & Chemicals Inc,NYSE,06-04-1983
APDN,Applied Dna Sciences Inc,NASDAQ,15-07-2003
APEI,American Public Education Inc,NASDAQ,09-11-2007
APG,APi Group Corporation,NYSE,29-04-2020
APGB,Apollo Strategic Growth Capital II - Class A,NYSE,05-04-2021
APGB-U,Apollo Strategic Growth Capital II - Units (1 Ord Share Class A & 1/5 War),NYSE,10-02-2021
APGB-WS,Apollo Strategic Growth Capital II - Warrants (12/02/2028),NYSE,06-04-2021
APGE,Apogee Therapeutics Inc,NASDAQ,14-07-2023
APH,Amphenol Corp - Class A,NYSE,08-11-1991
API,Agora Inc,NASDAQ,26-06-2020
APIE,ACTIVEPASSIVE INTERNATIONAL EQUITY ETF ,NYSE ARCA,03-05-2023
APLD,Applied Digital Corporation,NASDAQ,22-10-2008
APLE,Apple Hospitality REIT Inc,NYSE,18-05-2015
APLM,Apollomics Inc - Class A,NASDAQ,26-11-2021
APLMW,Apollomics Inc - Warrants (01/04/2028),NASDAQ,26-11-2021
APLS,Apellis Pharmaceuticals Inc,NASDAQ,09-11-2017
APLT,Applied Therapeutics Inc,NASDAQ,14-05-2019
APLU,Allspring Core Plus ETF,NYSE ARCA,05-12-2024
APLY,YIELDMAX AAPL OPTION INCOME STRATEGY ETF ,NYSE ARCA,18-04-2023
APM,Aptorum Group Ltd - Class A,NASDAQ,18-12-2018
APMIU,AxonPrime Infrastructure Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NASDAQ,13-08-2021
APMU,ACTIVEPASSIVE INTERMEDIATE MUNICIPAL BOND ETF ,NYSE ARCA,03-05-2023
APO,Apollo Global Management Inc - Class A (New),NYSE,30-03-2011
APO-P-A,Apollo Global Management Inc,NYSE,16-08-2023
APOC,Innovator Equity Defined Protection ETF - 6mo Apr/Oct,BATS,01-10-2024
APOG,Apogee Enterprises Inc,NASDAQ,03-05-1973
APOS,Apollo Global Management Inc,NYSE,29-08-2023
APP,Applovin Corp - Class A,NASDAQ,15-04-2021
APPF,Appfolio Inc - Class A,NASDAQ,26-06-2015
APPN,Appian Corp - Class A,NASDAQ,25-05-2017
APPS,Digital Turbine Inc,NASDAQ,30-06-2006
APRD,Innovator Premium Income 10 Barrier ETF - April,BATS,03-04-2023
APRE,Aprea Therapeutics Inc,NASDAQ,03-10-2019
APRH,Innovator Premium Income 20 Barrier ETF - April,BATS,03-04-2023
APRJ,Innovator Premium Income 30 Barrier ETF - April,BATS,03-04-2023
APRN,Blue Apron Holdings Inc - Class A,NASDAQ,29-06-2017
APRP,PGIM S&P 500 BUFFER 12 ETF - APRIL ,BATS,01-04-2024
APRQ,Innovator Premium Income 40 Barrier ETF - April,BATS,03-04-2023
APRT,ALLIANZIM U.S. LARGE CAP BUFFER10 APR ETF ,NYSE ARCA,01-06-2020
APRW,ALLIANZIM U.S. LARGE CAP BUFFER20 APR ETF ,NYSE ARCA,01-06-2020
APRZ,TRUESHARES STRUCTURED OUTCOME (APRIL) ETF ,BATS,01-04-2021
APT,Alpha Pro Tech Ltd,NYSE MKT,16-02-1999
APTO,Aptose Biosciences Inc,NASDAQ,23-10-2014
APTV,Aptiv PLC,NYSE,17-11-2011
APUE,ACTIVEPASSIVE U.S. EQUITY ETF ,NYSE ARCA,03-05-2023
APVO,Aptevo Therapeutics Inc,NASDAQ,20-07-2016
APWC,Asia Pacific Wire & Cable,NASDAQ,15-07-2003
APXIU,APx Acquisition Corp I - Units (1 Ord Class A & 1/2 War),NASDAQ,07-12-2021
APXIW,APx Acquisition Corp I - Warrants (30/11/2026),NASDAQ,28-01-2022
APYX,Apyx Medical Corp,NASDAQ,02-01-2019
AQB,AquaBounty Technologies Inc,NASDAQ,11-01-2017
AQMS,Aqua Metals Inc,NASDAQ,31-07-2015
AQN,Algonquin Power & Utilities Corp,NYSE,10-11-2009
AQNA,Algonquin Power & Utilities Corp,NYSE,23-10-2018
AQNB,Algonquin Power & Utilities Corp,NYSE,28-05-2019
AQST,Aquestive Therapeutics Inc,NASDAQ,25-07-2018
AQU,Aquaron Acquisition Corp,NASDAQ,19-10-2022
AQUNR,Aquaron Acquisition Corp,NASDAQ,19-10-2022
AQUNU,Aquaron Acquisition Corp - Units (1 &1 Rights),NASDAQ,04-10-2022
AQWA,GLOBAL X CLEAN WATER ETF ,NASDAQ,12-04-2021
AR,Antero Resources Corp,NYSE,10-10-2013
ARAY,Accuray Inc,NASDAQ,08-02-2007
ARB,AltShares Merger Arbitrage ETF,NYSE ARCA,07-05-2020
ARBB,ARB IOT Group Ltd,NASDAQ,05-04-2023
ARBE,Arbe Robotics Ltd,NASDAQ,08-10-2021
ARBEW,Arbe Robotics Ltd - Warrants (07/10/2026),NASDAQ,08-10-2021
ARBGU,Aequi Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NASDAQ,20-11-2020
ARBK,Argo Blockchain Plc,NASDAQ,23-09-2021
ARBKL,Argo Blockchain Plc,NASDAQ,18-11-2021
ARCB,ArcBest Corp,NASDAQ,13-05-1992
ARCC,Ares Capital Corp,NASDAQ,05-10-2004
ARCK,Arbor Rapha Capital Bioholdings Corp I - Class A,NASDAQ,20-12-2021
ARCKU,Arbor Rapha Capital Bioholdings Corp I - Units (1 Ord Share Class A & 1/3 War),NASDAQ,29-10-2021
ARCKW,Arbor Rapha Capital Bioholdings Corp I - Warrants (31/10/2028),NASDAQ,20-12-2021
ARCM,ARROW RESERVE CAPITAL MANAGEMENT ETF ,BATS,31-03-2017
ARCO,Arcos Dorados Holdings Inc - Class A,NYSE,14-04-2011
ARCT,Arcturus Therapeutics Holdings Inc,NASDAQ,22-05-2013
ARDC,Ares Dynamic Credit Allocation Fund Inc,NYSE,28-11-2012
ARDT,Ardent Health Partners Inc,NYSE,18-07-2024
ARDX,Ardelyx Inc,NASDAQ,19-06-2014
ARE,Alexandria Real Estate Equities Inc,NYSE,28-05-1997
AREA,Harbor AlphaEdge Next Generation REITs ETF,NYSE ARCA,05-09-2024
AREB,American Rebel Holdings Inc,NASDAQ,23-01-2018
AREBW,American Rebel Holdings Inc - Warrants (21/01/2027),NASDAQ,07-02-2022
AREC,American Resources Corporation - Class A,NASDAQ,29-12-2017
AREN,Arena Group Holdings Inc (The),NYSE MKT,13-07-2007
ARES,Ares Management Corp - Class A,NYSE,02-05-2014
ARGD,Argo Group US Inc,NYSE,07-05-2018
ARGO,Argo Group International Holdings Ltd,NYSE,07-08-2007
ARGO-P-A,Argo Group International Holdings Ltd,NYSE,08-07-2020
ARGT,GLOBAL X MSCI ARGENTINA ETF ,NYSE ARCA,03-03-2011
ARGU,Argus Capital Corp - Class A,NASDAQ,15-11-2021
ARGUU,Argus Capital Corp - Units (1 Ord Share Class A & 1/2 War),NASDAQ,22-09-2021
ARGUW,Argus Capital Corp - Warrants (31/08/2028),NASDAQ,12-11-2021
ARGX,Argen X SE,NASDAQ,18-05-2017
ARHS,Arhaus Inc Class A,NASDAQ,04-11-2021
ARI,Apollo Commercial Real Estate Finance Inc,NYSE,24-09-2009
ARIS,Aris Water Solutions Inc - Class A,NYSE,22-10-2021
ARKA,ARK 21SHARES ACTIVE BITCOIN FUTURES STRATEGY ETF ,BATS,14-11-2023
ARKB,ARK 21Shares Bitcoin ETF,BATS,11-01-2024
ARKC,ARK 21SHARES ACTIVE ON-CHAIN BITCOIN STRATEGY ETF ,BATS,15-11-2023
ARKD,ARK 21SHARES BLOCKCHAIN AND DIGITAL ECONOMY INNOVATION ETF ,BATS,15-11-2023
ARKF,ARK FINTECH INNOVATION ETF ,NYSE ARCA,04-02-2019
ARKG,ARK GENOMIC REVOLUTION ETF ,BATS,31-10-2014
ARKK,ARK INNOVATION ETF ,NYSE ARCA,31-10-2014
ARKO,ARKO Corp - Class A,NASDAQ,17-11-2017
ARKQ,ARK AUTONOMOUS TECHNOLOGY & ROBOTICS ETF ,BATS,30-09-2014
ARKR,Ark Restaurants Corp,NASDAQ,13-12-1985
ARKW,ARK NEXT GENERATION INTERNET ETF ,NYSE ARCA,30-09-2014
ARKX,ARK SPACE EXPLORATION & INNOVATION ETF ,BATS,30-03-2021
ARKY,ARK 21SHARES ACTIVE BITCOIN ETHEREUM STRATEGY ETF ,BATS,30-11-2023
ARKZ,ARK 21SHARES ACTIVE ETHEREUM FUTURES STRATEGY ETF ,BATS,14-11-2023
ARL,American Realty Investors Inc,NYSE,07-09-1984
ARLO,Arlo Technologies Inc,NYSE,03-08-2018
ARLP,Alliance Resource Partners LP,NASDAQ,17-08-1999
ARLU,AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF,BATS,01-04-2024
ARM,Arm Holdings plc.,NASDAQ,14-09-2023
ARMG,Leverage Shares 2X Long ARM Daily ETF,NASDAQ,14-01-2025
ARMK,Aramark,NYSE,12-12-2013
ARMK-W,Aramark WhenIssued,NYSE,27-09-2023
ARMN,Aris Mining Corp,NYSE MKT,10-08-2007
ARMP,Armata Pharmaceuticals Inc,NYSE MKT,09-03-2011
AROC,Archrock Inc,NYSE,04-11-2015
AROW,Arrow Financial Corp,NASDAQ,07-09-1984
ARP,PMV ADAPTIVE RISK PARITY ETF ,NYSE ARCA,22-12-2022
ARQ,Arq Inc,NASDAQ,23-01-2004
ARQQ,Arqit Quantum Inc,NASDAQ,07-09-2021
ARQQW,Arqit Quantum Inc - Warrants (02/11/2026),NASDAQ,06-04-2021
ARQT,Arcutis Biotherapeutics Inc,NASDAQ,31-01-2020
ARR,ARMOUR Residential REIT Inc,NYSE,03-12-2007
ARR-P-C,ARMOUR Residential REIT Inc,NYSE,24-01-2020
ARRY,Array Technologies Inc,NASDAQ,15-10-2020
ARTE,Artemis Strategic Investment Corp - Class A,NASDAQ,23-11-2021
ARTEU,Artemis Strategic Investment Corp - Units (1 Ord Share Class A & 1/2 War),NASDAQ,30-09-2021
ARTL,Artelo Biosciences Inc,NASDAQ,14-11-2017
ARTNA,Artesian Resources Corp - Class A,NASDAQ,24-05-1996
ARTV,Artiva Biotherapeutics Inc,NASDAQ,19-07-2024
ARTW,Art`s-way Manufacturing Co. Inc,NASDAQ,07-09-1984
ARTY,ISHARES FUTURE AI & TECH ETF ,NYSE ARCA,28-06-2018
ARVN,Arvinas Inc,NASDAQ,27-09-2018
ARVR,FIRST TRUST INDXX METAVERSE ETF ,NASDAQ,20-04-2022
ARW,Arrow Electronics Inc,NYSE,19-07-1984
ARWR,Arrowhead Pharmaceuticals Inc,NASDAQ,06-01-1997
AS,Amer Sports Inc,NYSE,01-02-2024
ASA,ASA Gold and Precious Metals Ltd,NYSE,03-01-1978
ASAN,Asana Inc - Class A,NYSE,30-09-2020
ASB,Associated Banc-Corp,NYSE,07-09-1984
ASB-P-E,Associated Banc-Corp,NYSE,20-09-2018
ASB-P-F,Associated Banc-Corp,NYSE,10-06-2020
ASBA,Associated Banc-Corp,NYSE,03-03-2023
ASBP,Aspire Biopharma Holdings Inc - Class A,NASDAQ,11-04-2022
ASBPW,Aspire Biopharma Holdings Inc - Warrants (18/02/2030),NASDAQ,11-04-2022
ASC,Ardmore Shipping Corp,NYSE,01-08-2013
ASEA,GLOBAL X FTSE SOUTHEAST ASIA ETF ,NYSE ARCA,17-02-2011
ASET,FLEXSHARES REAL ASSETS ALLOCATION INDEX FUND ,NASDAQ,24-11-2015
ASG,Liberty All-Star Growth Fund Inc,NYSE,05-11-1987
ASGI,abrdn Global Infrastructure Income Fund,NYSE,29-07-2020
ASGN,ASGN Inc,NYSE,23-09-1992
ASH,Ashland Inc,NYSE,06-04-1983
ASHR,XTRACKERS HARVEST CSI 300 CHINA A-SHARES ETF ,NYSE ARCA,06-11-2013
ASHS,XTRACKERS HARVEST CSI 500 CHINA A-SHARES SMALL CAP ETF ,NYSE ARCA,21-05-2014
ASIA,MATTHEWS PACIFIC TIGER ACTIVE ETF ,NYSE ARCA,22-09-2023
ASIX,AdvanSix Inc,NYSE,03-10-2016
ASLE,AerSale Corp,NASDAQ,28-02-2019
ASM,Avino Silver & Gold Mines Ltd,NYSE MKT,21-11-2005
ASMB,Assembly Biosciences Inc,NASDAQ,17-12-2010
ASMF,Virtus AlphaSimplex Managed Futures ETF,NYSE ARCA,16-05-2024
ASMG,Leverage Shares 2X Long ASML Daily ETF,NASDAQ,14-01-2025
ASML,ASML Holding NV,NASDAQ,16-03-1995
ASND,Ascendis Pharma A/S,NASDAQ,28-01-2015
ASNS,Actelis Networks Inc,NASDAQ,13-05-2022
ASO,Academy Sports and Outdoors Inc,NASDAQ,02-10-2020
ASPC,Alpha Capital Acquisition Co - Class A,NASDAQ,14-04-2021
ASPCR,A SPAC III Acquisition Corp,NASDAQ,03-01-2025
ASPCU,A SPAC III Acquisition Corp - Units (1 Ord Cls A & 1 Rts),NASDAQ,08-11-2024
ASPI,ASP Isotopes Inc,NASDAQ,10-11-2022
ASPN,Aspen Aerogels Inc,NYSE,13-06-2014
ASPS,Altisource Portfolio Solutions S.A.,NASDAQ,06-08-2009
ASPY,ASYMmetric Smart S&P 500 ETF,NYSE ARCA,10-03-2021
ASR,Grupo Aeroportuario Del Sureste S.A.,NYSE,28-09-2000
ASRT,Assertio Holdings Inc,NASDAQ,17-12-2003
ASRV,Ameriserv Financial Inc,NASDAQ,27-03-1990
ASST,Asset Entities Inc - Class B,NASDAQ,03-02-2023
ASTC,Astrotech Corp,NASDAQ,21-12-1995
ASTE,Astec Industries Inc,NASDAQ,19-06-1986
ASTH,Apollo Medical Holdings Inc,NASDAQ,23-02-2011
ASTI,Ascent Solar Technologies Inc,NASDAQ,25-07-2006
ASTL,Algoma Steel Group Inc,NASDAQ,20-10-2021
ASTLW,Algoma Steel Group Inc - Warrants (19/10/2026),NASDAQ,20-10-2021
ASTS,AST SpaceMobile Inc - Class A,NASDAQ,01-11-2019
ASUR,Asure Software Inc,NASDAQ,07-04-1992
ASX,ASE Technology Holding Co.Ltd,NYSE,02-10-2000
ASYS,Amtech Systems Inc,NASDAQ,07-09-1984
ATAI,ATAI Life Sciences N.V.,NASDAQ,18-06-2021
ATAT,Atour Lifestyle Holdings Ltd,NASDAQ,11-11-2022
ATCH,AtlasClear Holdings Inc,NYSE MKT,10-03-2021
ATCO-P-D,Atlas Corp,NYSE,28-02-2020
ATCO-P-H,Atlas Corp,NYSE,28-02-2020
ATCOL,Atlas Corp,NASDAQ,18-05-2021
ATEC,Alphatec Holdings Inc,NASDAQ,02-06-2006
ATEN,A10 Networks Inc,NYSE,21-03-2014
ATER,Aterian Inc,NASDAQ,12-06-2019
ATEST-A,ATEST.A,NYSE MKT,26-09-2016
ATEST-B,ATEST.B,NYSE MKT,02-02-2018
ATEST-C,ATESTC,NYSE MKT,02-02-2018
ATEST-G,ATESTG,NYSE MKT,26-05-2017
ATEST-H,ATEST.H,NYSE MKT,26-05-2017
ATEST-L,ATEST.L,NYSE MKT,26-05-2017
ATEX,Anterix Inc,NASDAQ,03-02-2015
ATFV,ALGER 35 ETF ,NYSE ARCA,04-05-2021
ATGE,Adtalem Global Education Inc,NYSE,28-06-1991
ATGL,Alpha Technology Group Ltd,NASDAQ,31-10-2023
ATH-P-A,Athene Holding Ltd,NYSE,06-06-2019
ATH-P-C,Athene Holding Ltd,NYSE,05-06-2020
ATH-P-D,Athene Holding Ltd,NYSE,17-12-2020
ATH-P-E,Athene Holding Ltd,NYSE,06-12-2022
ATHA,Athira Pharma Inc,NASDAQ,18-09-2020
ATHE,Alterity Therapeutics Ltd,NASDAQ,05-09-2002
ATHM,Autohome Inc,NYSE,11-12-2013
ATHS,Athene Holding Ltd,NYSE,15-03-2024
ATI,ATI Inc,NYSE,29-11-1999
ATIF,ATIF Holdings Ltd,NASDAQ,03-05-2019
ATIIU,Archimedes Tech SPAC Partners II Co. - Units (1 Ord & 1/2 War),NASDAQ,11-02-2025
ATKR,Atkore Inc,NYSE,10-06-2016
ATLC,Atlanticus Holdings Corp,NASDAQ,23-04-1999
ATLCL,Atlanticus Holdings Corp,NASDAQ,23-11-2021
ATLCP,Atlanticus Holdings Corp,NASDAQ,14-06-2021
ATLCZ,Atlanticus Holdings Corp,NASDAQ,31-01-2024
ATLN,Atlantic International Corp,NASDAQ,27-08-2021
ATLO,Ames National Corp,NASDAQ,15-02-2000
ATMC,AlphaTime Acquisition Corp,NASDAQ,19-01-2023
ATMCR,AlphaTime Acquisition Corp,NASDAQ,19-01-2023
ATMCU,AlphaTime Acquisition Corp - Units (1 Ord & 1 War & 1 Right),NASDAQ,30-12-2022
ATMCW,AlphaTime Acquisition Corp - Warrants (01/03/2028),NASDAQ,19-01-2023
ATMP,iPath Select MLP ETN,BATS,13-03-2013
ATMU,Atmus Filtration Technologies Inc,NYSE,26-05-2023
ATMV,AlphaVest Acquisition Corp,NASDAQ,25-01-2023
ATMVR,AlphaVest Acquisition Corp,NASDAQ,25-01-2023
ATMVU,AlphaVest Acquisition Corp - Units (1 Ord & 1 Right),NASDAQ,19-12-2022
ATNF,180 Life Sciences Corp,NASDAQ,27-06-2017
ATNFW,180 Life Sciences Corp - Warrants (07/11/2025),NASDAQ,27-06-2017
ATNI,ATN International Inc,NASDAQ,14-11-1991
ATNM,Actinium Pharmaceuticals Inc,NYSE MKT,27-12-2012
ATO,Atmos Energy Corp,NYSE,28-12-1983
ATOM,Atomera Inc,NASDAQ,05-08-2016
ATOS,Atossa Therapeutics Inc,NASDAQ,08-11-2012
ATPC,Agape ATP Corp,NASDAQ,05-10-2018
ATR,Aptargroup Inc,NYSE,23-04-1993
ATRA,Atara Biotherapeutics Inc,NASDAQ,16-10-2014
ATRC,Atricure Inc,NASDAQ,05-08-2005
ATRO,Astronics Corp,NASDAQ,07-09-1984
ATS,ATS Corporation.,NYSE,04-01-2016
ATSG,Air Transport Services Group Inc,NASDAQ,23-07-2003
ATUS,Altice USA Inc - Class A,NYSE,22-06-2017
ATXG,Addentax Group Corp,NASDAQ,12-12-2016
ATXI,Avenue Therapeutics Inc,NASDAQ,27-06-2017
ATXS,Astria Therapeutics Inc,NASDAQ,25-06-2015
ATYR,Atyr Pharma Inc,NASDAQ,07-05-2015
AU,AngloGold Ashanti Plc.,NYSE,05-08-1998
AUB,Atlantic Union Bankshares Corp,NYSE,18-08-1995
AUB-P-A,Atlantic Union Bankshares Corp,NYSE,03-06-2020
AUBN,Auburn National Bancorp Inc,NASDAQ,11-09-1995
AUDC,Audiocodes,NASDAQ,28-05-1999
AUGM,FT Vest U.S. Equity Max Buffer ETF - August,BATS,19-08-2024
AUGP,PGIM S&P 500 BUFFER 12 ETF - AUGUST ,BATS,10-05-2024
AUGT,ALLIANZIM U.S. LARGE CAP BUFFER10 AUG ETF ,NYSE ARCA,01-08-2023
AUGU,AllianzIM U.S. Equity Buffer15 Uncapped Aug ETF,BATS,01-08-2024
AUGW,ALLIANZIM U.S. LARGE CAP BUFFER20 AUG ETF ,NYSE ARCA,01-08-2023
AUGZ,TRUESHARES STRUCTURED OUTCOME (AUGUST) ETF ,BATS,03-08-2020
AUID,authID Inc,NASDAQ,17-11-2017
AULT,Hyperscale Data Inc,NYSE MKT,05-05-1997
AULT-P-D,Ault Alliance Inc,NYSE MKT,07-06-2022
AUMI,THEMES GOLD MINERS ETF ,NASDAQ,13-12-2023
AUNA,Auna S.A. - Cls A,NYSE,22-03-2024
AUPH,Aurinia Pharmaceuticals Inc,NASDAQ,03-09-2014
AUR,Aurora Innovation Inc - Class A,NASDAQ,10-05-2021
AURA,Aura Biosciences Inc,NASDAQ,29-10-2021
AURC,Better Home & Finance Holding Co. - Class A,NASDAQ,30-04-2021
AUROW,Aurora Innovation Inc - Warrants (03/11/2026),NASDAQ,10-05-2021
AUSF,GLOBAL X ADAPTIVE U.S. FACTOR ETF ,NYSE ARCA,28-08-2018
AUST,Austin Gold Corp,NYSE MKT,04-05-2022
AUTL,Autolus Therapeutics plc,NASDAQ,22-06-2018
AUUD,Auddia Inc,NASDAQ,17-02-2021
AUUDW,Auddia Inc - Warrants - Series A (17/10/2025),NASDAQ,17-02-2021
AVA,Avista Corp,NYSE,16-11-1987
AVACU,Avalon Acquisition Inc - Units (1 Ord Share Class A & 3/4 War),NASDAQ,06-10-2021
AVAH,Aveanna Healthcare Holdings Inc,NASDAQ,28-04-2021
AVAL,Grupo Aval Acciones y Valores S.A.,NYSE,23-09-2014
AVAV,AeroVironment Inc,NASDAQ,23-01-2007
AVB,Avalonbay Communities Inc,NYSE,11-03-1994
AVBP,ArriVent BioPharma Inc,NASDAQ,26-01-2024
AVD,American Vanguard Corp,NYSE,22-06-1988
AVDE,AVANTIS INTERNATIONAL EQUITY ETF ,NYSE ARCA,26-09-2019
AVDL,Avadel Pharmaceuticals plc,NASDAQ,07-06-1996
AVDS,AVANTIS INTERNATIONAL SMALL CAP EQUITY ETF ,NYSE ARCA,20-07-2023
AVDV,AVANTIS INTERNATIONAL SMALL CAP VALUE ETF ,NYSE ARCA,26-09-2019
AVDX,AvidXchange Holdings Inc,NASDAQ,13-10-2021
AVEE,AVANTIS EMERGING MARKETS SMALL CAP EQUITY ETF ,NYSE ARCA,09-11-2023
AVEM,AVANTIS EMERGING MARKETS EQUITY ETF ,NYSE ARCA,19-09-2019
AVES,AVANTIS EMERGING MARKETS VALUE ETF ,NYSE ARCA,30-09-2021
AVGE,AVANTIS ALL EQUITY MARKETS ETF ,NYSE ARCA,29-09-2022
AVGO,Broadcom Inc,NASDAQ,06-08-2009
AVGR,Avinger Inc,NASDAQ,30-01-2015
AVGV,AVANTIS ALL EQUITY MARKETS VALUE ETF ,NYSE ARCA,29-06-2023
AVGX,DEFIANCE DAILY TARGET 2X LONG AVGO ETF ,NASDAQ,22-08-2024
AVIE,AVANTIS INFLATION FOCUSED EQUITY ETF ,NYSE ARCA,29-09-2022
AVIG,AVANTIS CORE FIXED INCOME ETF ,NYSE ARCA,15-10-2020
AVIR,Atea Pharmaceuticals Inc,NASDAQ,30-10-2020
AVIV,AVANTIS INTERNATIONAL LARGE CAP VALUE ETF ,NYSE ARCA,30-09-2021
AVK,Advent Convertible and Income Fund,NYSE,30-04-2003
AVK-R,Advent Convertible and Income Fund Rights expiring October 17 2024 Rights,NYSE,23-09-2024
AVK-R-W,Advent Convertible and Income Fund Rights expiring October 17 2024 Rights when issued,NYSE,19-09-2024
AVL,Direxion Daily AVGO Bull 2X Shares,NASDAQ,10-10-2024
AVLC,AVANTIS U.S. LARGE CAP EQUITY ETF ,NYSE ARCA,28-09-2023
AVLV,AVANTIS U.S. LARGE CAP VALUE ETF ,NYSE ARCA,23-09-2021
AVMA,AVANTIS MODERATE ALLOCATION ETF ,NYSE ARCA,29-06-2023
AVMC,AVANTIS U.S. MID CAP EQUITY ETF ,NASDAQ,09-11-2023
AVMU,AVANTIS CORE MUNICIPAL FIXED INCOME ETF ,NYSE ARCA,10-12-2020
AVNM,AVANTIS ALL INTERNATIONAL MARKETS EQUITY ETF ,NYSE ARCA,29-06-2023
AVNS,Avanos Medical Inc,NYSE,21-10-2014
AVNT,Avient Corp,NYSE,13-09-1999
AVNV,AVANTIS ALL INTERNATIONAL MARKETS VALUE ETF ,NYSE ARCA,29-06-2023
